0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
172644403	ache	ZDB-GENE-010906-1					GO:0003990	acetylcholinesterase activity	PATO:0001507	disrupted	abnormal							ZDB-FISH-150901-3031	ache<sup>sb55/+</sup>	ZDB-STAGE-010723-39	ZDB-STAGE-010723-39	ZDB-GENOX-070523-3	ZDB-PUB-020107-3	ZDB-FIG-060727-10
172608756	ache	ZDB-GENE-010906-1					GO:0003990	acetylcholinesterase activity	PATO:0000297	arrested	abnormal							ZDB-FISH-150901-19734	ache<sup>tf222a/tf222a</sup>	ZDB-STAGE-010723-10	ZDB-STAGE-010723-10	ZDB-GENOX-041102-1603	ZDB-PUB-040514-8	ZDB-FIG-070514-2
172664023	ache	ZDB-GENE-010906-1					GO:0003990	acetylcholinesterase activity	PATO:0000297	arrested	abnormal							ZDB-FISH-150901-9704	ache<sup>tm205/tm205</sup>	ZDB-STAGE-010723-10	ZDB-STAGE-010723-10	ZDB-GENOX-041102-489	ZDB-PUB-040514-8	ZDB-FIG-070514-2
172632022	ache	ZDB-GENE-010906-1					GO:0003990	acetylcholinesterase activity	PATO:0000297	arrested	abnormal							ZDB-FISH-150901-1166	ache<sup>sb55/sb55</sup>	ZDB-STAGE-010723-34	ZDB-STAGE-010723-35	ZDB-GENOX-070117-1542	ZDB-PUB-020107-3	ZDB-FIG-060727-10
172690362	alpi.1	ZDB-GENE-050327-78					GO:0004035	alkaline phosphatase activity	PATO:0002052	decreased occurrence	abnormal							ZDB-FISH-150901-20044	WT + MO1-alpi.1	ZDB-STAGE-010723-36	ZDB-STAGE-010723-36	ZDB-GENOX-080325-1	ZDB-PUB-071219-22	ZDB-FIG-080325-4
172660856	alpi.1	ZDB-GENE-050327-78					GO:0004035	alkaline phosphatase activity	PATO:0002052	decreased occurrence	abnormal							ZDB-FISH-150901-20044	WT + MO1-alpi.1	ZDB-STAGE-010723-36	ZDB-STAGE-010723-36	ZDB-GENOX-080325-1	ZDB-PUB-071219-22	ZDB-FIG-080325-2
172703919	alpi.1	ZDB-GENE-050327-78					GO:0004035	alkaline phosphatase activity	PATO:0002052	decreased occurrence	abnormal							ZDB-FISH-150901-20044	WT + MO1-alpi.1	ZDB-STAGE-010723-47	ZDB-STAGE-010723-47	ZDB-GENOX-080325-1	ZDB-PUB-071219-22	ZDB-FIG-080325-2
172684162	alpi.1	ZDB-GENE-050327-78					GO:0004035	alkaline phosphatase activity	PATO:0002052	decreased occurrence	abnormal							ZDB-FISH-150901-20044	WT + MO1-alpi.1	ZDB-STAGE-010723-47	ZDB-STAGE-010723-47	ZDB-GENOX-080325-1	ZDB-PUB-071219-22	ZDB-FIG-080325-4
172691762	camk2a	ZDB-GENE-051113-72	GO:0004972	NMDA glutamate receptor activity	BFO:0000050	part_of	ZFA:0009149	Mauthner neuron	PATO:0002302	decreased process quality	abnormal							ZDB-FISH-150901-22835	WT + MO1-camk2a	ZDB-STAGE-010723-9	ZDB-STAGE-010723-9	ZDB-GENOX-150430-14	ZDB-PUB-140723-10	ZDB-FIG-150430-48
172661161	camk2a	ZDB-GENE-051113-72	GO:0004972	NMDA glutamate receptor activity	BFO:0000050	part_of	ZFA:0009149	Mauthner neuron	PATO:0000499	decreased duration	abnormal							ZDB-FISH-150901-26499	WT + MO3-camk2a	ZDB-STAGE-010723-9	ZDB-STAGE-010723-9	ZDB-GENOX-150430-13	ZDB-PUB-140723-10	ZDB-FIG-150430-49
172649059	camk2a	ZDB-GENE-051113-72	GO:0004972	NMDA glutamate receptor activity	BFO:0000050	part_of	ZFA:0009149	Mauthner neuron	PATO:0000499	decreased duration	abnormal							ZDB-FISH-150901-22835	WT + MO1-camk2a	ZDB-STAGE-010723-9	ZDB-STAGE-010723-9	ZDB-GENOX-150430-14	ZDB-PUB-140723-10	ZDB-FIG-150430-49
172603468	camk2a	ZDB-GENE-051113-72	GO:0004972	NMDA glutamate receptor activity	BFO:0000050	part_of	ZFA:0009149	Mauthner neuron	PATO:0002302	decreased process quality	abnormal							ZDB-FISH-150901-26499	WT + MO3-camk2a	ZDB-STAGE-010723-9	ZDB-STAGE-010723-9	ZDB-GENOX-150430-13	ZDB-PUB-140723-10	ZDB-FIG-150430-48
172686056	casp3a	ZDB-GENE-011210-1	GO:0004197	cysteine-type endopeptidase activity	BFO:0000050	part_of	ZFA:0009310	retinal ganglion cell	PATO:0002052	decreased occurrence	abnormal							ZDB-FISH-150901-7337	WT + MO1-casp3a	ZDB-STAGE-010723-8	ZDB-STAGE-010723-8	ZDB-GENOX-150305-15	ZDB-PUB-140303-21	ZDB-FIG-150304-18
172606859	casp9	ZDB-GENE-030825-5	GO:0004197	cysteine-type endopeptidase activity	BFO:0000050	part_of	ZFA:0009310	retinal ganglion cell	PATO:0002052	decreased occurrence	abnormal							ZDB-FISH-150901-16487	WT + MO1-casp9	ZDB-STAGE-010723-8	ZDB-STAGE-010723-8	ZDB-GENOX-150305-16	ZDB-PUB-140303-21	ZDB-FIG-150304-18
172666636	casp9	ZDB-GENE-030825-5	GO:0004197	cysteine-type endopeptidase activity	BFO:0000050	part_of	ZFA:0009310	retinal ganglion cell	PATO:0002052	decreased occurrence	abnormal							ZDB-FISH-150901-19232	WT + MO2-casp9	ZDB-STAGE-010723-8	ZDB-STAGE-010723-8	ZDB-GENOX-150305-17	ZDB-PUB-140303-21	ZDB-FIG-150304-18
172588938	cenph	ZDB-GENE-081104-340					GO:0004197	cysteine-type endopeptidase activity	PATO:0000912	increased rate	abnormal							ZDB-FISH-150901-7668	cenph<sup>tsu055Gt/tsu055Gt</sup>	ZDB-STAGE-010723-32	ZDB-STAGE-010723-32	ZDB-GENOX-110421-7	ZDB-PUB-100625-28	ZDB-FIG-110421-14
172670782	chs1	ZDB-GENE-030131-1188	GO:0004100	chitin synthase activity	BFO:0000050	part_of	ZFA:0005807	intestine lumen	PATO:0002052	decreased occurrence	abnormal							ZDB-FISH-150901-24339	TU + MO1-chs1	ZDB-STAGE-010723-35	ZDB-STAGE-010723-35	ZDB-GENOX-150706-7	ZDB-PUB-150317-6	ZDB-FIG-150513-10
